batter,0,1,2,3,4,5,6,7,8,pca_0,pca_1,pca_2,tsne_0,tsne_1,tsne_2,IDmlbam,WAR,Name_x,Name_y
598265,0.20320259,-0.57547474,1.3002052,-1.1729409,0.12960798,0.38225833,-1.2898,-1.3870361,-1.7877723,0.11851218609338084,-0.8097737310265222,-1.6485552857656784,6.5245996,-22.660782,-14.902622,598265.0,15.0,Jackie Bradley Jr.Jackie Bradley Jr.Jackie Bradley Jr.Jackie Bradley Jr.Jackie Bradley Jr.,Jackie Bradley Jr.
593428,-0.21635678,-0.79838294,0.9346395,0.054570187,0.82836527,-1.0571941,-1.9193395,1.0635169,-1.2075926,0.8070322481962222,-0.9233789132446889,-1.4889012033168858,5.856561,-19.526463,-20.832842,593428.0,33.6,Xander BogaertsXander BogaertsXander BogaertsXander BogaertsXander BogaertsXander BogaertsXander BogaertsXander Bogaerts,Xander Bogaerts
434670,-0.6994869,1.220142,-0.14054604,-0.47272936,0.021576833,0.33484238,0.3966195,2.0485966,-1.4581493,-0.945789286539367,1.235832798009323,-0.4916541675767633,-10.22237,12.456295,-2.8918605,434670.0,2.5,Hanley RamirezHanley Ramirez,Hanley Ramirez
120074,-0.21998855,-0.3820251,-0.58820754,-0.2094637,0.92437744,-0.6189709,-0.35735306,0.8476749,0.1964233,0.026327750622548392,-0.11140333628260275,-0.09810051526976905,-3.0663154,1.3972582,-1.0887094,120074.0,4.5,David Ortiz,David Ortiz
605141,-0.5256974,1.9939806,-0.68548423,-0.9370487,0.8520514,1.0288391,1.2371011,-0.0070492644,0.16608493,-0.8934779304241331,1.170796954940052,0.7761487156517749,-13.557083,12.252977,14.287246,605141.0,51.8,Mookie BettsMookie BettsMookie BettsMookie BettsMookie BettsMookie BettsMookie BettsMookie Betts,Mookie Betts
518626,-1.3151737,1.5510557,-0.6144381,2.0537264,0.14469884,-0.18815966,-0.16639127,-1.1891631,0.23355319,1.834448576417335,0.013114079647552694,0.7556105545995708,22.24724,3.5394895,9.599461,518626.0,16.900000000000002,Josh DonaldsonJosh DonaldsonJosh DonaldsonJosh Donaldson,Josh Donaldson
607680,0.053068876,0.45593935,1.105123,-0.67446834,0.73841035,-0.519638,0.33580217,-0.13964137,-1.0849426,-0.6643363870027679,0.060571597412302565,-0.5629484593229731,-11.221613,4.2398167,-13.878333,607680.0,6.1000000000000005,Kevin PillarKevin PillarKevin PillarKevin PillarKevin Pillar,Kevin Pillar
456030,-0.67241865,-0.57805526,-0.76084554,-0.7754053,-0.42621836,0.6986564,0.2873047,-0.6221233,-0.37585077,-0.18921930153132022,0.7853044772204386,-0.2737015257356857,-0.9845594,15.508417,-7.133165,456030.0,3.6,Dustin Pedroia,Dustin Pedroia
643217,-0.19707073,-0.20268011,-1.753916,0.91276866,-0.1280252,-1.4389856,-0.48873806,-0.38367066,0.7340681,0.6999503609291259,-0.8513756045631589,1.1586777872624254,13.423301,-23.931692,8.6338215,643217.0,12.9,Andrew BenintendiAndrew BenintendiAndrew BenintendiAndrew BenintendiAndrew BenintendiAndrew Benintendi,Andrew Benintendi
459431,1.0407037,0.5805886,1.0309892,0.80063736,-1.4617034,2.8287764,-1.7042869,-0.86227375,0.94247466,1.7965268136673596,-0.9794190941453244,-0.24938124589434432,27.17205,-9.576465,7.565867,459431.0,2.1,Michael Saunders,Michael Saunders
453064,0.2712692,-1.8048685,1.2827789,-0.08369184,2.912729,0.14717902,0.01633364,-0.2727037,1.6291178,0.7916425893905389,-0.29894337741743,-1.189661383005633,8.648774,-3.45993,-18.766,453064.0,2.5,Troy Tulowitzki,Troy Tulowitzki
431145,-2.585528,-0.06603308,-1.3373278,-0.8242982,1.9383066,1.4633242,1.4569093,-1.3905531,-0.66158605,0.025932492575076033,2.3383131942204596,-1.025082060645944,6.2436624,15.716037,-18.65418,431145.0,3.5,Russell Martin,Russell Martin
430832,0.87210846,0.8493364,0.85668904,1.3690312,2.250043,-0.7377114,-0.7649388,-1.6963592,0.70568055,1.2467281144242421,-2.0977995940980017,-0.003667616967862891,19.364637,-20.522448,0.43115684,430832.0,1.1,Jose BautistaJose Bautista,Jose Bautista
429665,-0.76561356,-1.7100118,0.48703954,-0.06908812,1.2015663,0.07698821,0.6391208,0.93313915,-2.945177,-0.9741662040183805,0.991472099405112,-3.2152285770593787,1.052505,10.277332,-30.706564,429665.0,6.8,Edwin EncarnacionEdwin EncarnacionEdwin Encarnacion,Edwin Encarnacion
425834,0.9751746,0.08957822,-0.16580452,-0.2069266,0.75941217,0.5706892,1.2419051,0.07958217,-1.1802945,-1.6749385190636699,-0.0039992222055407955,-1.0093579709517957,-24.878332,-2.4912145,-4.158855,425834.0,1.5,Melvin Upton Jr.,Melvin Upton Jr.
595777,0.5225029,0.22104251,0.8037948,0.4808869,-0.6720052,-1.5028489,-0.54208446,-0.4855357,-0.014652087,0.4369459189660181,-1.0353956008880723,0.6728710977580251,7.6237326,-11.513005,13.441754,595777.0,4.5,Jurickson ProfarJurickson ProfarJurickson ProfarJurickson ProfarJurickson Profar,Jurickson Profar
523253,-1.3292397,-1.1674564,-2.0865755,-1.7358413,-0.69698256,0.94730437,1.7938482,0.09118677,-1.0323589,-1.7215467336267476,2.3621924096780234,-0.4344620581598623,-10.335512,22.291441,-9.412109,523253.0,3.0,Logan Forsythe,Logan Forsythe
493351,-1.7659848,0.31599396,0.8751373,-0.26676935,0.094332054,-0.50254816,1.0082893,-0.8284183,0.93852824,0.8694655670745053,1.6719197415632743,0.9400220750372084,4.5797787,23.894611,9.686211,493351.0,-1.5,Alexei Ramirez,Alexei Ramirez
608336,1.1907023,1.2358869,0.48542997,0.545108,-1.1579659,-0.53980553,0.53255343,1.8411403,-0.92510724,-1.2458561326288542,-0.19792786982162838,0.32726518054313214,-12.394372,-11.511528,-4.3228645,608336.0,11.0,Joey GalloJoey GalloJoey GalloJoey Gallo,Joey Gallo
608577,-1.3466581,-0.19845852,0.025408918,0.07604043,-0.028225135,1.4416331,-0.6541369,0.05197129,-1.3168826,0.8339062204258428,0.9137141353310531,-1.5849100652970924,14.867685,1.8420806,-13.7404,608577.0,1.3,Nomar MazaraNomar MazaraNomar Mazara,Nomar Mazara
593643,1.2188241,0.11695938,-0.005512453,-1.9849249,-1.1617993,1.118012,0.27762645,1.4170694,-0.80048287,-2.038584227999168,0.37445878123862764,-0.2368722353646183,-29.826338,0.939539,-10.301929,593643.0,2.5,Hanser AlbertoHanser Alberto,Hanser Alberto
572816,0.1820402,1.8083786,1.9223143,-1.0417312,-0.53911614,0.08175384,-0.33162448,-1.2688988,-0.997509,-0.09619878264607658,-0.24430923656492276,0.28346800478600415,-8.512994,-0.8762321,-8.293571,572816.0,6.0,Corey DickersonCorey DickersonCorey DickersonCorey Dickerson,Corey Dickerson
446334,1.2560649,1.0546097,-0.77551144,-0.32026234,0.5099608,0.74090666,0.6684346,-1.5505633,0.90235454,-0.6744925959215009,-0.8393622984412398,0.9967666828387755,-10.135332,-17.063768,11.8934,446334.0,10.0,Evan LongoriaEvan LongoriaEvan LongoriaEvan LongoriaEvan Longoria,Evan Longoria
