batter,0,1,2,3,4,5,6,7,8
598265,0.20320259,-0.57547474,1.3002052,-1.1729409,0.12960798,0.38225833,-1.2898,-1.3870361,-1.7877723
593428,-0.21635678,-0.79838294,0.9346395,0.054570187,0.82836527,-1.0571941,-1.9193395,1.0635169,-1.2075926
434670,-0.6994869,1.220142,-0.14054604,-0.47272936,0.021576833,0.33484238,0.3966195,2.0485966,-1.4581493
120074,-0.21998855,-0.3820251,-0.58820754,-0.2094637,0.92437744,-0.6189709,-0.35735306,0.8476749,0.1964233
605141,-0.5256974,1.9939806,-0.68548423,-0.9370487,0.8520514,1.0288391,1.2371011,-0.0070492644,0.16608493
518626,-1.3151737,1.5510557,-0.6144381,2.0537264,0.14469884,-0.18815966,-0.16639127,-1.1891631,0.23355319
581527,-0.44080862,0.81258786,0.3474579,0.4745768,2.1411526,0.6375083,-0.8123838,0.31739256,-1.8446583
485567,-3.6645901,0.66492164,1.3095475,0.13594718,-0.37600407,0.32107645,0.19502233,-0.5024766,-0.45309547
607680,0.053068876,0.45593935,1.105123,-0.67446834,0.73841035,-0.519638,0.33580217,-0.13964137,-1.0849426
571788,0.6195664,1.8560499,-0.70434564,-0.90404,1.7799411,-0.7690138,-0.57493454,-0.44495052,-1.007807
456030,-0.67241865,-0.57805526,-0.76084554,-0.7754053,-0.42621836,0.6986564,0.2873047,-0.6221233,-0.37585077
643217,-0.19707073,-0.20268011,-1.753916,0.91276866,-0.1280252,-1.4389856,-0.48873806,-0.38367066,0.7340681
455759,0.058157478,0.18274963,1.526257,0.55464584,-0.8564271,0.42611796,-0.80807114,-1.6776809,1.3547713
459431,1.0407037,0.5805886,1.0309892,0.80063736,-1.4617034,2.8287764,-1.7042869,-0.86227375,0.94247466
453064,0.2712692,-1.8048685,1.2827789,-0.08369184,2.912729,0.14717902,0.01633364,-0.2727037,1.6291178
431145,-2.585528,-0.06603308,-1.3373278,-0.8242982,1.9383066,1.4633242,1.4569093,-1.3905531,-0.66158605
430832,0.87210846,0.8493364,0.85668904,1.3690312,2.250043,-0.7377114,-0.7649388,-1.6963592,0.70568055
429665,-0.76561356,-1.7100118,0.48703954,-0.06908812,1.2015663,0.07698821,0.6391208,0.93313915,-2.945177
506702,0.6071016,-0.1523605,0.009867871,1.4517155,1.3122603,-1.0295947,0.7414411,-0.3300566,-2.9527473
425834,0.9751746,0.08957822,-0.16580452,-0.2069266,0.75941217,0.5706892,1.2419051,0.07958217,-1.1802945
592261,0.8190328,-1.152045,0.98589796,0.28704152,0.026462281,-0.7589431,-0.9357357,0.24363323,-2.0506995
595777,0.5225029,0.22104251,0.8037948,0.4808869,-0.6720052,-1.5028489,-0.54208446,-0.4855357,-0.014652087
607387,-0.3587372,-0.026513679,0.9392455,0.100460805,0.8542147,-0.24491672,-1.3598577,-0.5790999,-0.4690661
523253,-1.3292397,-1.1674564,-2.0865755,-1.7358413,-0.69698256,0.94730437,1.7938482,0.09118677,-1.0323589
543094,0.20190547,-0.3601466,-0.1361218,-0.15330851,0.28777602,0.3202417,1.8417686,-0.43569595,1.5114866
571912,1.675857,0.16970801,-0.114948146,-2.200523,0.78870517,0.5327342,-0.7435477,-0.15710655,-2.752864
592200,-0.6827976,0.8184405,0.22521177,1.1772358,1.9828479,-0.45230216,0.22465988,-0.5751989,0.1867587
493351,-1.7659848,0.31599396,0.8751373,-0.26676935,0.094332054,-0.50254816,1.0082893,-0.8284183,0.93852824
572128,0.5923005,1.1906674,-0.5927372,-0.20989425,0.2601548,-1.2370687,-0.15309,-0.7681825,-0.3963023
608336,1.1907023,1.2358869,0.48542997,0.545108,-1.1579659,-0.53980553,0.53255343,1.8411403,-0.92510724
592592,0.004475899,-0.7544424,0.72741437,-0.6539954,0.26754802,0.5494389,-1.0769205,-1.1093671,0.060194753
608577,-1.3466581,-0.19845852,0.025408918,0.07604043,-0.028225135,1.4416331,-0.6541369,0.05197129,-1.3168826
593643,1.2188241,0.11695938,-0.005512453,-1.9849249,-1.1617993,1.118012,0.27762645,1.4170694,-0.80048287
455139,-0.31857908,0.2978419,-0.2447679,0.06451147,0.96462196,-0.15097354,-0.5712539,0.6373312,-0.58194053
592419,1.1498883,0.19991755,-0.18772651,1.3651413,-0.25365752,-0.17463544,-0.64043343,1.1430573,1.3452708
572816,0.1820402,1.8083786,1.9223143,-1.0417312,-0.53911614,0.08175384,-0.33162448,-1.2688988,-0.997509
