first,last,given,nick,id,full_name
Casey,Sadler,Casey Scott,,594987,Casey Sadler
Owen,Miller,Owen Robert,,680911,Owen Miller
Tommy,Edman,Thomas Hyunsu,,669242,Tommy Edman
Diego,Castillo,Diego Alejandro,,660636,Diego Castillo
Luis,Cessa,Luis Enrique,,570666,Luis Cessa
Rob,Zastryzny,Robert John,,642239,Rob Zastryzny
Davis,Schneider,Davis,,676914,Davis Schneider
Hanley,Ramírez,Hanley,,434670,Hanley Ramírez
Tyler,Smith,Tyler Douglas,,642094,Tyler Smith
Tony,Sipp,Tony Marcel,,448609,Tony Sipp
Edwar,Colina,Edwar Osnel de la Cruz,,666674,Edwar Colina
Roberto,Gómez,Roberto Ezequiel,,596816,Roberto Gómez
Jake,Petricka,Jacob Steven,,502593,Jake Petricka
Matt,Hall,Matthew Thomas,,664180,Matt Hall
Edwin,Díaz,Edwin Orlando,,621242,Edwin Díaz
Nicky,Lopez,Nicholas,,670032,Nicky Lopez
Alex,Mejia,Alejandro DeJesus,,622270,Alex Mejia
Troy,Scribner,Troy Alex,,644428,Troy Scribner
Brandon,Lowe,Brandon Norman,,664040,Brandon Lowe
Dean,Kiekhefer,Dean Allen,,518883,Dean Kiekhefer
Jakob,Junis,Jakob Benjamin Lee,,596001,Jakob Junis
Héctor,Neris,Héctor,,593576,Héctor Neris
Wilson,Ramos,Wilson Abraham,,467092,Wilson Ramos
Glenn,Otto,Glenn David,,657248,Glenn Otto
Justin,Miller,Justin Ryan,,502522,Justin Miller
Jesse,Chavez,Jesse David,,445926,Jesse Chavez
Hunter,Goodman,Hunter Robert,,696100,Hunter Goodman
Lucas,Giolito,Lucas Frost,,608337,Lucas Giolito
Edward,Olivares,Edward Daniel,,658668,Edward Olivares
Tim,Locastro,Timothy Donald,,641796,Tim Locastro
Jordan,Zimmermann,Jordan Michael,,519455,Jordan Zimmermann
Jeremy,Beasley,Jeremy Lonnie,,676886,Jeremy Beasley
Kyle,Bird,Ronald Kyle,,613317,Kyle Bird
Dan,Otero,Daniel Anthony,,519096,Dan Otero
Javier,Assad,Javier Eduardo,,665871,Javier Assad
Kevin,Plawecki,Kevin Jeffrey,,608700,Kevin Plawecki
Jackson,Chourio,Jackson Bryan,,694192,Jackson Chourio
Odrisamer,Despaigne,Odrisamer,,628333,Odrisamer Despaigne
Daniel,Nava,Daniel James,,537953,Daniel Nava
Stephen,Gonsalves,Stephen William,,624427,Stephen Gonsalves
Kyle,Bradish,Kyle Edward,,680694,Kyle Bradish
Oswaldo,Cabrera,Oswaldo Alberto,,665828,Oswaldo Cabrera
