pitcher,0,1,2,3,4,5,6,7,8
532077,-0.41987056,-0.72911406,1.0420059,-1.7583587,-2.0908978,0.0847494,0.20101656,0.81271976,1.2398303
519141,-0.28696454,2.3232613,-0.8426619,0.051400784,0.22747402,0.5321165,0.8758081,0.37274176,-0.3254657
607352,1.0321043,0.35890433,0.7759657,-0.013554861,-1.4288888,1.394774,-1.0951916,0.11443851,-1.3569988
446399,0.061971918,-0.77763677,-0.9316776,-1.5112435,-0.55102867,-0.24976476,1.8984473,-0.6151207,0.94519424
446899,1.765906,-0.8823156,1.3503156,-0.25840726,0.32005852,0.2219521,0.31818748,-0.603506,0.9419315
592717,0.6670038,0.96670556,-0.2248654,0.07391532,0.66703254,-0.26672745,0.17870106,0.2979466,0.51356936
598264,1.2302138,0.256086,-0.52090985,1.6090539,0.0982161,2.0403252,-2.5061977,0.66411525,-2.4712877
543726,0.39571187,1.5315081,-0.5909119,0.37974572,0.13207318,-1.3946838,-1.4918216,-0.58246034,0.3406619
592390,-1.2639451,-0.7234626,1.4572002,0.1936917,-0.17324267,-0.1657399,-0.6672897,0.3049596,0.4174189
456034,0.29723492,0.09349085,-1.1083829,0.6242233,0.4618677,-0.97940356,0.33986142,-1.6153436,-0.642051
541640,-0.6939512,-0.7052208,0.6603425,0.028266044,0.038596913,1.2256405,-1.4390196,-1.5567423,-0.7368411
489294,1.3341689,-1.2347012,0.5714223,0.7650022,-0.3696406,0.6161423,-0.035575792,-0.22207803,0.19761331
517008,1.2171345,0.67809033,-0.6793922,-1.6701758,0.3365313,1.3305662,0.14810939,0.4775743,0.38384247
605309,0.49339277,0.90955573,0.36970738,-0.24817842,-1.2761127,-1.866216,-0.5760483,0.12029474,-0.015184004
543144,0.92787504,0.7450794,0.6467734,0.82309926,0.6594169,2.4175029,-1.2635428,-1.6498073,-0.41885248
502202,-0.7704416,-0.81503004,1.0576342,-0.60686314,0.0942089,0.10527624,-0.3313652,0.45302442,-1.0586116
516714,-0.7275272,0.030841708,0.37553376,2.299091,0.46070346,0.30940214,0.509208,-0.034021273,0.26955476
543195,0.43681917,-0.8750641,0.18691881,-0.3745711,-0.60120285,-1.0498115,-0.078481175,1.5271931,0.5496367
518617,-0.38207704,-1.3256258,-1.1808835,-0.5003197,-0.59979916,0.3833784,0.1923303,-0.31396803,0.13754655
502026,0.8499016,0.3447576,-0.24858817,2.4147584,1.067934,1.9323527,0.44678286,3.0075796,-0.4902625
623439,-1.1962099,0.5770126,-0.3555185,-0.5026805,-0.33871087,0.102911614,-0.43088293,-1.0710576,0.9621058
600917,0.18078583,-0.6248223,-0.5849342,0.46728227,0.7537927,0.3641264,0.87065274,-0.38985515,0.24165392
595032,-0.91118383,-0.88597083,0.90268135,0.6006427,-0.28725928,0.5112199,0.87642294,1.1788394,-1.4990422
527048,-0.51751316,0.33887303,1.8782604,-1.283886,1.4131175,1.2505677,0.11374735,0.68643665,0.32853013
